order_id,chemical_ordered,supplier,quantity_ordered,cost_usd,order_date
1,Reactant D,Supplier Y,2117.94,3036.34,
2,Buffer E,Supplier X,1823.24,1499.64,"Jan 01, 2023"
3,Catalyst C,Supplier X,3057.7,4940.35,
4,Buffer E,Supplier X,3723.09,3938.41,
5,Buffer E,Supplier Z,4115.39,1640.27,2023-01-01 04:00:00
6,Solvent B,Supplier B,2141.31,1824.25,01/01/2023
7,Catalyst C,Supplier B,3611.87,3605.38,01/01/2023
8,Catalyst C,Supplier A,4589.49,106.89,2023-01-01 07:00:00
9,Catalyst C,Supplier X,4612.04,2347.0,"Jan 01, 2023"
10,Buffer E,Supplier Z,3549.74,1748.4,2023-01-01 09:00:00
11,Reactant D,Supplier Y,3220.82,4277.31,01/01/2023
12,Catalyst C,Supplier Y,2704.48,3966.91,01/01/2023
13,Buffer E,Supplier A,997.67,1693.88,2023-01-01 12:00:00
14,Solvent B,Supplier A,705.79,4330.75,2023-01-01 13:00:00
15,Reactant D,Supplier X,2479.98,4572.32,2023-01-01 14:00:00
16,Solvent B,Supplier X,881.28,2784.67,01/01/2023
17,Reactant D,Supplier Y,2927.3,838.22,2023-01-01 16:00:00
18,Buffer E,Supplier Y,3263.94,3863.12,2023-01-01 17:00:00
19,Solvent A,Supplier Y,2675.52,999999,"Jan 01, 2023"
20,Reactant D,Supplier Y,278.49,2660.04,2023-01-01 19:00:00
21,Solvent B,Supplier B,382.87,275.66,01/01/2023
22,Buffer E,Supplier X,655.37,2525.45,"Jan 01, 2023"
23,Reactant D,Supplier X,852.86,1932.31,
24,Solvent A,Supplier Y,4.95 kg,3446.02,01/01/2023
25,Solvent A,Supplier Z,1788.03,251.88,02/01/2023
26,Catalyst C,Supplier Y,1530.67,3143.48,
27,Catalyst C,Supplier A,356.11,3871.18,02/01/2023
28,Solvent B,Supplier Z,3213.07,113.25,
29,Reactant D,Supplier A,3295.73,3762.32,
30,Reactant D,Supplier Z,959.7,694.51,02/01/2023
31,Catalyst C,Supplier A,4604.28,3505.38,2023-01-02 06:00:00
32,Reactant D,Supplier Y,4022.42,2303.62,2023-01-02 07:00:00
33,Reactant D,Supplier Y,1228.56,2782.36,
34,Solvent A,Supplier Z,2480.66,1719.87,"Jan 02, 2023"
35,Catalyst C,Supplier A,2346.12,1265.06,
36,Buffer E,Supplier B,1807.75,401.68,
37,Catalyst C,Supplier Z,4106.41,4330.22,
38,Buffer E,Supplier Z,0.64 kg,3071.62,2023-01-02 13:00:00
39,Solvent A,Supplier X,,4914.86,2023-01-02 14:00:00
40,Solvent B,Supplier Z,2197.35,4259.74,2023-01-02 15:00:00
41,Reactant D,Supplier B,2396.76,4354.68,
42,Solvent A,Supplier Y,4320.61,3009.36,"Jan 02, 2023"
43,Reactant D,Supplier A,1169.02,450.67,2023-01-02 18:00:00
44,Solvent B,Supplier X,604.32,4571.31,02/01/2023
45,Solvent B,Supplier A,3127.26,633.54,02/01/2023
46,Solvent A,Supplier Y,951.79,2609.87,02/01/2023
47,Solvent B,Supplier Z,467.17,4291.44,
48,Buffer E,Supplier B,2190.58,2388.42,02/01/2023
49,Solvent B,Supplier X,1176.27,870.07,
50,Reactant D,Supplier B,1.87 kg,1897.32,03/01/2023
51,Reactant D,Supplier B,1372.58,4942.52,"Jan 03, 2023"
52,Reactant D,Supplier B,0.55 kg,4998.81,
53,Reactant D,Supplier B,2845.7,3568.63,03/01/2023
54,Buffer E,Supplier Y,232.39,4445.56,2023-01-03 05:00:00
55,Catalyst C,Supplier B,4835.24,268.82,
56,Solvent A,Supplier B,1772.52,1416.06,2023-01-03 07:00:00
57,Reactant D,Supplier Y,3506.27,1876.35,2023-01-03 08:00:00
58,Solvent B,Supplier A,4070.78,109.39,2023-01-03 09:00:00
59,Reactant D,Supplier Y,1467.61,1915.96,2023-01-03 10:00:00
60,Solvent B,Supplier Z,3768.82,,03/01/2023
61,Solvent B,Supplier Y,4178.86,2611.18,03/01/2023
62,Reactant D,Supplier A,1282.45,71.88,
63,Buffer E,Supplier Z,4963.22,1388.73,
64,Solvent B,Supplier Z,201.37,4338.1,
65,Solvent B,Supplier X,1163.3,1104.64,03/01/2023
66,Reactant D,Supplier B,3.92 kg,370.97,
67,Solvent B,Supplier Z,1051.24,1286.17,2023-01-03 18:00:00
68,Solvent B,Supplier Z,3521.47,4146.42,03/01/2023
69,Reactant D,Supplier A,4292.1,2956.58,
70,Reactant D,Supplier Z,4800.15,2951.07,2023-01-03 21:00:00
71,Solvent A,Supplier A,2423.81,52.84,
72,Buffer E,Supplier B,4858.43,2387.15,"Jan 03, 2023"
73,Buffer E,Supplier X,2.12 kg,1364.81,
74,Solvent B,Supplier X,1168.83,1714.23,"Jan 04, 2023"
75,Buffer E,Supplier B,2618.22,3013.5,
76,Solvent B,Supplier B,3284.13,4377.98,
77,Solvent A,Supplier Y,2344.02,949.2,04/01/2023
78,Reactant D,Supplier Z,2878.16,3852.7,04/01/2023
79,Reactant D,Supplier Z,2140.41,292.07,"Jan 04, 2023"
80,Reactant D,Supplier Z,2671.33,1667.31,04/01/2023
81,Buffer E,Supplier A,4767.72,1133.62,2023-01-04 08:00:00
82,Solvent A,Supplier Y,2549.17,4582.14,2023-01-04 09:00:00
83,Buffer E,Supplier Z,1340.58,931.09,"Jan 04, 2023"
84,Buffer E,Supplier A,3817.86,2914.23,2023-01-04 11:00:00
85,Solvent A,Supplier A,1754.16,865.68,2023-01-04 12:00:00
86,Solvent A,Supplier X,4099.42,2393.74,
87,Solvent A,Supplier A,378.53,2096.33,04/01/2023
88,Solvent A,Supplier B,1727.67,254.72,2023-01-04 15:00:00
89,Reactant D,Supplier A,562.36,4138.04,2023-01-04 16:00:00
90,Catalyst C,Supplier B,518.06,3911.56,04/01/2023
91,Catalyst C,Supplier B,3326.11,1425.4,2023-01-04 18:00:00
